product_id,product_name,product_name_toLowerCase,supermarket,category_1,category_2,category_3,category_4,price,price_bs,stock
60005615,LEJÍA CON ESPUMA LIMPIADORA GAMA 1 LT,lejía con espuma limpiadora gama 1 lt,3,Limpieza,Cuidado de prendas,Blanqueador y cloro,,1.83,181.09,85
60007284,DETERGENTE EN POLVO GAMA 900 GR,detergente en polvo gama 900 gr,3,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,2.29,226.57,87
60006924,DETERGENTE EN POLVO 3B+ 1 KG,detergente en polvo 3b+ 1 kg,3,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,2.54,251.84,4
60006399,DETERGENTE POLVO REGULAR ACE 800 GR,detergente polvo regular ace 800 gr,3,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,3.61,357.96,74
60007053,DETERGENTE EN POLVO REGULAR ACE 2 KG,detergente en polvo regular ace 2 kg,3,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,8.07,799.31,163
60007316,BICLORO AJAX 1 LT,bicloro ajax 1 lt,3,Limpieza,Cuidado de prendas,Blanqueador y cloro,,4.67,462.40,113
60007224,DETERGENTE EN POLVO MORADO ALIVE 1 KG,detergente en polvo morado alive 1 kg,3,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,2.97,293.95,36
60007022,DETERGENTE EN POLVO AZUL ALIVE 1 KG,detergente en polvo azul alive 1 kg,3,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,2.97,293.95,
60007237,"DETERGENTE LIQUIDO REVITACOLOR ARIEL 1,8 LT","detergente liquido revitacolor ariel 1,8 lt",3,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,15.26,1511.87,114
60007236,DETERGENTE LÍQUIDO REVITACOLOR ARIEL 800 ML,detergente líquido revitacolor ariel 800 ml,3,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,8.58,849.85,40
60005569,DETERGENTE ARIEL LIQUIDO CONCENTRADO DOBLE PODER 800 ML,detergente ariel liquido concentrado doble poder 800 ml,3,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,8.37,829.63,60
60006604,"DETERGENTE LIQUIDO ARIEL 1,8 LT","detergente liquido ariel 1,8 lt",3,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,15.26,1511.87,280
60000480,BLAN-CLORO 1 LT,blan-cloro 1 lt,3,Limpieza,Cuidado de prendas,Blanqueador y cloro,,3.37,333.54,4
60006594,SUPER CLORO BONCLOR 1 LT,super cloro bonclor 1 lt,3,Limpieza,Cuidado de prendas,Blanqueador y cloro,,1.74,172.66,1
60005848,CLORO BLANQUEADOR FRESH CLEAN CAROL 1 L,cloro blanqueador fresh clean carol 1 l,3,Limpieza,Cuidado de prendas,Blanqueador y cloro,,2.24,222.36,3
